compound,ra,rb,fe,bg,a,b,c,shape
Hf2O3,0.83,0.71,-2.34,0.0,4.056,4.056,4.056,cubic
TmLiO3,1.05,0.76,-2.064,0.0,3.598,3.598,3.598,cubic
HoPdO3,1.12,0.62,-1.695,0.0,3.946,3.946,3.946,cubic
SmGdO3,1.24,0.94,-2.915,1.508,4.326,4.326,4.326,cubic
KLiO3,1.64,0.76,-0.344,0.0,3.848,3.848,3.848,cubic
TbTaO3,1.1,0.64,-2.574,0.0,4.003,4.003,4.003,cubic
PmRbO3,1.14,1.52,-0.7,0.0,4.347,4.347,4.347,cubic
HoTbO3,1.12,0.76,-2.688,1.246,4.284,4.284,4.284,cubic
PbReO3,1.49,0.63,-1.373,0.0,3.993,3.993,3.993,cubic
MnRhO3,0.96,0.6,-0.875,0.0,3.885,3.885,3.885,cubic
AsReO3,0.58,0.63,-0.759,0.0,3.906,3.906,3.906,cubic
InHgO3,0.92,1.11,-0.133,0.0,4.168,4.168,4.168,cubic
PuZnO3,0.96,0.74,-2.147,0.0,3.862,3.862,3.862,cubic
OsBeO3,0.57,0.45,-0.582,0.0,3.408,3.408,3.408,cubic
ScAsO3,0.87,0.58,-1.591,0.0,3.898,3.898,3.898,cubic
SbCeO3,0.68,0.94,-1.326,0.0,4.552,4.552,4.552,cubic
PbLaO3,1.49,1.03,-1.905,0.0,4.5,4.5,4.5,cubic
YHgO3,1.08,1.11,-1.182,0.0,4.191,4.191,4.191,cubic
RhNpO3,0.61,0.86,-1.449,0.0,4.226,4.226,4.226,cubic
ErReO3,1.06,0.63,-1.852,0.0,3.939,3.939,3.939,cubic
NpCaO3,0.98,1.0,-1.582,0.0,4.962,4.962,4.962,cubic
PmReO3,1.14,0.57,-2.023,0.0,3.965,3.965,3.965,cubic
DyCaO3,1.08,1.0,-2.141,0.0,4.082,4.082,4.082,cubic
GaZnO3,0.62,0.74,-0.512,0.0,3.783,3.783,3.783,cubic
KSrO3,1.64,1.18,-1.018,0.0,4.597,4.597,4.597,cubic
TmBiO3,1.05,0.9,-1.428,0.0,4.356,4.356,4.356,cubic
PmOsO3,1.14,0.57,-1.81,0.0,3.959,3.959,3.959,cubic
HfMnO3,0.83,0.53,-1.819,0.0,3.789,3.789,3.789,cubic
PdNiO3,0.86,0.48,-0.067,0.0,3.684,3.684,3.684,cubic
TeBeO3,0.77,0.45,-1.247,0.0,3.526,3.526,3.526,cubic
SiAlO3,0.4,0.54,-1.619,0.0,3.638,3.638,3.638,cubic
Ho2O3,1.12,0.9,-2.927,1.533,4.233,4.233,4.233,cubic
SiRbO3,0.4,1.52,0.933,0.0,4.255,4.255,4.255,cubic
PaOsO3,0.95,0.57,-1.092,0.0,3.977,3.977,3.977,cubic
OsCdO3,0.57,0.95,0.818,0.0,4.087,4.087,4.087,cubic
SnCuO3,0.81,0.54,-0.744,0.0,3.769,3.769,3.769,cubic
YbPrO3,1.14,0.85,-2.441,0.0,4.44,4.44,4.44,cubic
LiYO3,0.92,0.9,-1.858,0.0,4.367,4.367,4.367,cubic
NbTeO3,0.79,0.97,-0.39,0.0,4.173,4.173,4.173,cubic
RuFeO3,0.68,0.59,-0.434,0.0,3.79,3.79,3.79,cubic
WPmO3,0.63,0.97,-0.547,0.0,4.398,4.398,4.398,cubic
HfRhO3,0.83,0.61,-1.055,0.0,3.881,3.881,3.881,cubic
ZrLiO3,0.89,0.76,-1.965,0.0,3.504,3.504,3.504,cubic
SbPdO3,0.76,0.76,-0.512,0.0,3.979,3.979,3.979,cubic
TmBO3,1.05,0.27,-2.537,3.153,3.422,3.422,3.422,cubic
HfGeO3,0.83,0.53,-1.351,0.0,3.818,3.818,3.818,cubic
TmErO3,1.05,0.89,-2.914,1.306,4.206,4.206,4.206,cubic
InTeO3,0.92,0.97,-0.981,0.0,4.16,4.16,4.16,cubic
AlGaO3,0.54,0.62,-1.246,0.0,3.74,3.74,3.74,cubic
OsBaO3,0.57,1.35,0.843,0.0,4.577,4.577,4.577,cubic
BaKO3,1.61,1.38,-0.736,0.0,4.449,4.449,4.449,cubic
SiNpO3,0.4,0.86,-1.659,0.0,4.312,4.312,4.312,cubic
ReWO3,0.57,0.63,-0.49,0.0,3.944,3.944,3.944,cubic
SmTbO3,1.32,0.76,-2.842,1.608,4.3,4.3,4.3,cubic
SrRbO3,1.44,1.52,-0.615,0.0,4.343,4.343,4.343,cubic
GdBO3,1.11,0.27,-2.513,2.803,3.477,3.477,3.477,cubic
BIrO3,0.27,0.57,0.308,0.0,3.842,3.842,3.842,cubic
MoThO3,0.73,0.94,-1.598,0.0,4.536,4.536,4.536,cubic
PdTmO3,0.76,0.88,-1.27,0.0,4.247,4.247,4.247,cubic
TiDyO3,0.74,0.99,-1.846,0.0,4.244,4.244,4.244,cubic
AuSnO3,0.93,0.69,-0.651,0.0,4.045,4.045,4.045,cubic
TeReO3,0.97,0.53,-0.74,0.0,3.977,3.977,3.977,cubic
NdRbO3,1.27,1.52,-0.738,0.0,4.356,4.356,4.356,cubic
PdNpO3,0.75,0.86,-1.563,0.0,4.539,4.539,4.539,cubic
ErOsO3,1.06,0.57,-1.641,0.0,3.929,3.929,3.929,cubic
RuMnO3,0.68,0.53,-0.63,0.0,3.772,3.772,3.772,cubic
AuIrO3,0.93,0.63,-0.13,0.0,3.915,3.915,3.915,cubic
AlTcO3,0.54,0.6,-1.22,0.0,3.89,3.89,3.89,cubic
SnMgO3,0.81,0.72,-1.324,0.0,3.831,3.831,3.831,cubic
MoCoO3,0.69,0.61,-0.555,0.0,3.658,3.658,3.658,cubic
HoBO3,1.12,0.27,-2.528,3.049,3.443,3.443,3.443,cubic
GeFeO3,0.73,0.59,-1.043,0.0,3.774,3.774,3.774,cubic
NbRhO3,0.72,0.67,-0.531,0.0,3.885,3.885,3.885,cubic
ZrAuO3,0.89,0.93,-0.533,0.0,4.07,4.07,4.07,cubic
BeVO3,0.45,0.58,-1.342,0.0,3.706,3.706,3.706,cubic
ThBO3,1.21,0.27,-2.27,0.0,3.674,3.674,3.674,cubic
NpSmO3,0.98,0.96,-2.881,1.156,4.402,4.402,4.402,cubic
TcZnO3,0.6,0.74,-0.202,0.0,3.799,3.799,3.799,cubic
HfTbO3,0.83,0.92,-1.777,0.0,4.261,4.261,4.261,cubic
ZrGaO3,0.89,0.62,-1.978,0.0,3.769,3.769,3.769,cubic
WBO3,0.66,0.27,-0.52,0.0,3.401,3.401,3.401,cubic
SmPuO3,1.24,0.83,-2.735,0.0,4.366,4.366,4.366,cubic
ReCrO3,0.57,0.58,-0.575,0.0,3.807,3.807,3.807,cubic
CrAlO3,0.57,0.54,-2.105,0.0,3.638,3.638,3.638,cubic
DyTaO3,1.19,0.68,-2.68,0.0,4.002,4.002,4.002,cubic
TeMgO3,0.77,0.72,-1.124,0.0,3.812,3.812,3.812,cubic
Sr2O3,1.44,1.18,-1.738,0.0,4.456,4.456,4.456,cubic
TmDyO3,1.05,0.99,-2.811,1.006,4.252,4.252,4.252,cubic
MgCaO3,0.89,1.0,-1.14,0.0,4.188,4.188,4.188,cubic
HfMoO3,0.83,0.62,-1.466,0.0,3.924,3.924,3.924,cubic
PdCrO3,0.86,0.55,-0.972,0.0,3.772,3.772,3.772,cubic
TcUO3,0.6,0.85,-1.541,0.0,4.563,4.563,4.563,cubic
MoLaO3,0.69,1.03,-0.886,0.0,4.459,4.459,4.459,cubic
SnGaO3,0.81,0.62,-1.374,0.0,3.835,3.835,3.835,cubic
IrZnO3,0.63,0.74,0.319,0.0,3.813,3.813,3.813,cubic
AgLiO3,1.28,0.76,0.105,0.0,3.635,3.635,3.635,cubic
InPtO3,0.92,0.67,-0.571,0.0,3.994,3.994,3.994,cubic
CuPuO3,0.68,0.83,-1.756,0.801,4.229,4.229,4.229,cubic
DyAgO3,1.08,0.95,-1.432,0.0,4.016,4.016,4.016,cubic
PuTbO3,0.96,0.84,-2.739,0.0,4.324,4.324,4.324,cubic
SbDyO3,0.68,0.99,-1.783,0.0,4.301,4.301,4.301,cubic
ScGaO3,0.87,0.62,-2.283,1.582,3.753,3.753,3.753,cubic
RbZnO3,1.72,0.74,-0.625,0.0,4.032,4.032,4.032,cubic
SbRhO3,0.76,0.67,-0.668,0.0,3.942,3.942,3.942,cubic
CrSiO3,0.8,0.4,-2.168,0.0,3.531,3.531,3.531,cubic
CdCeO3,1.31,0.87,-1.4,0.0,4.51,4.51,4.51,cubic
PtLuO3,0.67,0.86,-1.049,0.0,4.202,4.202,4.202,cubic
RbLiO3,1.72,0.76,-0.271,0.0,3.965,3.965,3.965,cubic
InGdO3,0.92,0.94,-1.745,0.0,4.353,4.353,4.353,cubic
TmLuO3,1.05,0.86,-3.061,1.726,4.138,4.138,4.138,cubic
MoOsO3,0.73,0.57,-0.247,0.0,3.911,3.911,3.911,cubic
SiSbO3,0.4,0.68,-0.814,0.0,4.046,4.046,4.046,cubic
UNiO3,1.17,0.69,-2.136,0.0,3.789,3.789,3.789,cubic
MoPdO3,0.65,0.86,0.039,0.0,3.929,3.929,3.929,cubic
GdInO3,1.11,0.8,-2.182,1.499,4.05,4.05,4.05,cubic
SmPaO3,1.24,0.91,-2.48,0.0,4.471,4.471,4.471,cubic
TbBO3,0.88,0.27,-2.39,2.961,3.465,3.465,3.465,cubic
TeIrO3,0.97,0.63,-0.313,0.0,3.976,3.976,3.976,cubic
AcPrO3,1.12,0.92,-2.953,1.649,4.539,4.539,4.539,cubic
WAsO3,0.66,0.58,0.022,0.0,3.903,3.903,3.903,cubic
CdBO3,1.31,0.27,-0.836,0.0,3.464,3.464,3.464,cubic
HfPdO3,0.83,0.86,-0.881,0.0,3.925,3.925,3.925,cubic
PaTaO3,0.95,0.68,-2.061,0.0,4.029,4.029,4.029,cubic
SmPrO3,1.32,0.85,-2.54,0.993,4.499,4.499,4.499,cubic
BeSiO3,0.45,0.4,-1.794,0.352,3.446,3.446,3.446,cubic
ScSnO3,0.87,0.69,-1.817,0.0,4.028,4.028,4.028,cubic
ZrCdO3,0.89,0.95,-0.876,0.0,4.076,4.076,4.076,cubic
EuCsO3,1.48,1.67,-0.846,0.0,4.469,4.469,4.469,cubic
AlAsO3,0.54,0.58,-0.946,0.0,3.814,3.814,3.814,cubic
ZnPdO3,0.9,0.62,-0.23,0.0,3.894,3.894,3.894,cubic
LaTeO3,1.36,0.97,-1.762,0.0,4.283,4.283,4.283,cubic
TeScO3,0.77,0.75,-1.749,0.0,4.045,4.045,4.045,cubic
CrCoO3,0.8,0.53,-0.951,0.0,3.659,3.659,3.659,cubic
SiPmO3,0.4,0.97,-1.176,0.0,4.377,4.377,4.377,cubic
AsUO3,0.58,0.89,-1.957,0.0,4.318,4.318,4.318,cubic
AgLuO3,1.28,0.86,-1.528,0.0,4.252,4.252,4.252,cubic
MgTcO3,0.89,0.6,-1.598,0.0,3.873,3.873,3.873,cubic
SiTmO3,0.4,0.96,-1.474,0.0,4.213,4.213,4.213,cubic
NbWO3,0.79,0.66,-1.186,0.0,3.938,3.938,3.938,cubic
ZrRuO3,0.89,0.57,-1.281,0.0,3.874,3.874,3.874,cubic
TiWO3,0.86,0.66,-1.66,0.0,3.91,3.91,3.91,cubic
AsYO3,0.58,0.9,-1.275,0.0,4.289,4.289,4.289,cubic
BeCsO3,0.45,1.67,0.936,0.0,4.376,4.376,4.376,cubic
DyTcO3,1.08,0.6,-2.083,0.0,3.93,3.93,3.93,cubic
BNpO3,0.27,0.86,-1.17,0.0,4.245,4.245,4.245,cubic
OsCuO3,0.57,0.68,0.457,0.0,3.722,3.722,3.722,cubic
InYO3,0.92,0.9,-1.776,0.0,4.325,4.325,4.325,cubic
GeGdO3,0.63,0.94,-1.539,0.0,4.308,4.308,4.308,cubic
WRhO3,0.66,0.67,0.182,0.0,3.891,3.891,3.891,cubic
ErCaO3,1.06,1.0,-2.099,0.0,4.118,4.118,4.118,cubic
TeAcO3,0.77,1.12,-1.138,0.0,4.636,4.636,4.636,cubic
PtNbO3,0.67,0.68,-1.294,0.0,3.992,3.992,3.992,cubic
IrSbO3,0.63,0.68,-0.076,0.0,3.996,3.996,3.996,cubic
TeNdO3,0.77,0.98,-1.217,0.0,4.492,4.492,4.492,cubic
CdKO3,1.31,1.38,0.585,0.0,4.224,4.224,4.224,cubic
HfWO3,0.83,0.66,-1.419,0.0,3.937,3.937,3.937,cubic
SmTmO3,1.24,0.96,-3.181,1.999,4.204,4.204,4.204,cubic
ErPmO3,1.06,0.97,-2.515,0.344,4.403,4.403,4.403,cubic
ThAlO3,1.21,0.54,-3.237,0.0,3.805,3.805,3.805,cubic
RuCuO3,0.57,0.77,0.071,0.0,3.713,3.713,3.713,cubic
BHoO3,0.27,0.9,-0.484,0.0,4.3,4.3,4.3,cubic
PtRuO3,0.67,0.62,-0.105,0.0,3.862,3.862,3.862,cubic
BeTiO3,0.45,0.61,-1.778,0.0,3.794,3.794,3.794,cubic
ZnTlO3,0.9,1.2,-0.069,0.0,4.153,4.153,4.153,cubic
IrPuO3,0.63,0.83,-0.861,0.0,4.29,4.29,4.29,cubic
NbAsO3,0.72,0.58,-0.668,0.0,3.905,3.905,3.905,cubic
ErGdO3,1.06,0.94,-2.729,0.817,4.309,4.309,4.309,cubic
IrLaO3,0.68,1.03,-0.39,0.0,4.464,4.464,4.464,cubic
ZrBO3,0.89,0.27,-1.921,0.0,3.419,3.419,3.419,cubic
ULaO3,1.03,1.03,-2.388,0.0,4.576,4.576,4.576,cubic
NaHgO3,1.39,1.11,-0.215,0.0,4.175,4.175,4.175,cubic
WDyO3,0.66,0.91,-0.843,0.0,4.253,4.253,4.253,cubic
LiYbO3,0.92,0.95,-1.088,0.0,4.175,4.175,4.175,cubic
RbZrO3,1.72,0.72,-2.593,0.0,4.243,4.243,4.243,cubic
RuHgO3,0.62,1.11,0.735,0.0,4.14,4.14,4.14,cubic
HfCrO3,0.83,0.55,-2.046,0.0,3.767,3.767,3.767,cubic
BAlO3,0.27,0.54,-0.574,0.0,3.61,3.61,3.61,cubic
NaKO3,1.39,1.38,0.328,0.0,4.474,4.474,4.474,cubic
SmPbO3,1.32,0.78,-1.583,0.0,4.21,4.21,4.21,cubic
IrCrO3,0.68,0.62,-0.477,0.0,3.79,3.79,3.79,cubic
ScHgO3,0.87,1.11,-0.725,0.0,4.147,4.147,4.147,cubic
CrZnO3,0.57,0.74,-0.77,0.0,3.795,3.795,3.795,cubic
ReAuO3,0.57,0.93,0.911,0.0,4.043,4.043,4.043,cubic
MgZrO3,0.89,0.72,-2.676,0.843,4.103,4.103,4.103,cubic
CaYbO3,1.34,0.95,-2.047,0.0,4.134,4.134,4.134,cubic
AlSbO3,0.54,0.76,-1.11,0.0,4.019,4.019,4.019,cubic
Pd2O3,0.76,0.76,0.207,0.0,3.919,3.919,3.919,cubic
MoSbO3,0.73,0.68,-0.517,0.0,4.063,4.063,4.063,cubic
IrNiO3,0.68,0.6,0.259,0.0,3.674,3.674,3.674,cubic
VFeO3,0.79,0.59,-1.293,0.0,3.753,3.753,3.753,cubic
TmHgO3,1.05,1.11,-1.084,0.0,4.174,4.174,4.174,cubic
RuMgO3,0.62,0.72,-0.517,0.0,3.753,3.753,3.753,cubic
HgReO3,1.19,0.58,-1.079,0.0,3.937,3.937,3.937,cubic
NdYbO3,1.27,0.87,-2.55,0.0,4.131,4.131,4.131,cubic
ZnBO3,0.9,0.27,-0.874,0.0,3.341,3.341,3.341,cubic
CeThO3,1.34,0.94,-2.997,0.0,4.566,4.566,4.566,cubic
HfPtO3,0.83,0.67,-0.671,0.0,3.987,3.987,3.987,cubic
UTmO3,1.03,0.88,-2.966,0.0,4.218,4.218,4.218,cubic
BeFeO3,0.45,0.59,-0.705,0.0,3.668,3.668,3.668,cubic
CuSnO3,0.68,0.69,-0.828,0.0,4.018,4.018,4.018,cubic
AlMnO3,0.54,0.65,-1.359,0.0,3.735,3.735,3.735,cubic
PdWO3,0.86,0.66,-1.411,0.0,3.895,3.895,3.895,cubic
ErNbO3,1.06,0.72,-2.547,0.0,4.02,4.02,4.02,cubic
LiNiO3,0.92,0.59,-0.607,0.0,3.655,3.655,3.655,cubic
NdGdO3,1.27,0.94,-2.98,1.412,4.335,4.335,4.335,cubic
KErO3,1.64,0.89,-2.169,0.0,4.381,4.381,4.381,cubic
FeTbO3,0.92,0.76,-1.188,0.0,4.28,4.28,4.28,cubic
HfGaO3,0.83,0.62,-1.833,0.0,3.755,3.755,3.755,cubic
LuPmO3,1.03,0.97,-2.42,0.0,4.398,4.398,4.398,cubic
RhNbO3,0.67,0.64,-1.463,0.0,3.983,3.983,3.983,cubic
CrBeO3,0.57,0.45,-1.504,0.0,3.424,3.424,3.424,cubic
BaAlO3,1.61,0.54,-2.721,0.0,3.921,3.921,3.921,cubic
PtGdO3,0.67,0.94,-0.804,0.0,4.353,4.353,4.353,cubic
ScTmO3,0.87,0.96,-2.61,0.69,4.176,4.176,4.176,cubic
TaThO3,0.74,0.94,-1.46,0.0,4.527,4.527,4.527,cubic
AgAuO3,1.28,0.93,0.286,0.0,4.046,4.046,4.046,cubic
TcNdO3,0.6,0.98,-0.883,0.0,4.428,4.428,4.428,cubic
CrHgO3,0.57,1.11,-0.046,0.0,4.129,4.129,4.129,cubic
LuAsO3,1.03,0.58,-1.773,0.0,3.972,3.972,3.972,cubic
CoSiO3,0.9,0.4,-1.853,1.149,3.51,3.51,3.51,cubic
PuPrO3,0.96,0.92,-2.452,0.0,4.451,4.451,4.451,cubic
LuCaO3,1.03,1.0,-1.996,0.0,4.1,4.1,4.1,cubic
IrBeO3,0.63,0.45,-0.574,0.0,3.431,3.431,3.431,cubic
NiFeO3,0.69,0.59,-0.432,0.0,3.758,3.758,3.758,cubic
BCrO3,0.27,0.49,-0.315,0.0,3.699,3.699,3.699,cubic
PmSnO3,1.14,0.69,-2.138,0.0,4.128,4.128,4.128,cubic
MoFeO3,0.65,0.78,-0.677,0.0,3.792,3.792,3.792,cubic
ThAuO3,1.21,0.93,-1.421,0.0,4.16,4.16,4.16,cubic
TmTaO3,1.09,0.68,-2.601,0.0,3.996,3.996,3.996,cubic
OsCoO3,0.57,0.63,0.191,0.0,3.675,3.675,3.675,cubic
AsPaO3,0.52,0.91,-1.769,0.0,4.361,4.361,4.361,cubic
InReO3,0.92,0.58,-1.363,0.0,3.961,3.961,3.961,cubic
ErTcO3,1.06,0.6,-2.031,0.0,3.923,3.923,3.923,cubic
AuInO3,0.93,0.8,-0.15,0.0,4.132,4.132,4.132,cubic
TcRuO3,0.6,0.62,-0.296,0.0,3.899,3.899,3.899,cubic
ReAcO3,0.57,1.12,-0.321,0.0,4.578,4.578,4.578,cubic
TeSiO3,0.97,0.4,-1.27,0.0,3.722,3.722,3.722,cubic
ThGeO3,1.21,0.73,-2.114,0.0,4.011,4.011,4.011,cubic
BiReO3,1.38,0.58,-1.04,0.0,3.996,3.996,3.996,cubic
BeReO3,0.45,0.63,-0.851,0.0,3.851,3.851,3.851,cubic
BRhO3,0.27,0.6,0.416,0.0,3.834,3.834,3.834,cubic
BScO3,0.27,0.75,-0.576,0.0,4.058,4.058,4.058,cubic
RuCrO3,0.68,0.55,-0.791,0.0,3.79,3.79,3.79,cubic
LiPtO3,0.92,0.67,-0.654,0.0,3.917,3.917,3.917,cubic
ReBeO3,0.63,0.45,-0.834,0.0,3.404,3.404,3.404,cubic
MgCsO3,0.89,1.67,0.051,0.0,4.441,4.441,4.441,cubic
LuPrO3,1.03,0.99,-2.244,0.0,4.479,4.479,4.479,cubic
TaHfO3,0.74,0.71,-1.814,0.0,4.056,4.056,4.056,cubic
IrGeO3,0.63,0.63,-0.26,0.0,3.75,3.75,3.75,cubic
LaBiO3,1.36,1.03,-1.9,0.0,4.413,4.413,4.413,cubic
ThYbO3,1.21,0.95,-2.84,0.379,4.163,4.163,4.163,cubic
AuBiO3,0.93,0.9,-0.315,0.0,4.186,4.186,4.186,cubic
FeNpO3,0.85,0.86,-1.809,0.0,4.312,4.312,4.312,cubic
HoSiO3,1.12,0.4,-2.626,0.0,3.672,3.672,3.672,cubic
BUO3,0.27,0.76,-1.577,1.741,4.289,4.289,4.289,cubic
ZnRbO3,0.9,1.52,0.834,0.0,4.241,4.241,4.241,cubic
IrNpO3,0.63,0.86,-0.987,0.0,4.304,4.304,4.304,cubic
TiInO3,0.74,0.8,-1.06,0.0,4.063,4.063,4.063,cubic
LuNbO3,1.03,0.72,-2.467,0.0,4.018,4.018,4.018,cubic
MgOsO3,0.89,0.57,-1.213,0.0,3.888,3.888,3.888,cubic
HfYO3,0.83,0.9,-1.942,0.0,4.233,4.233,4.233,cubic
LaSnO3,1.36,0.69,-2.298,0.0,4.169,4.169,4.169,cubic
PdFeO3,0.76,0.65,-0.509,0.0,3.768,3.768,3.768,cubic
ErIrO3,1.06,0.68,-1.595,0.0,3.942,3.942,3.942,cubic
TcYO3,0.6,0.9,-1.091,0.0,4.296,4.296,4.296,cubic
BaBO3,1.61,0.27,-1.399,0.0,3.73,3.73,3.73,cubic
SmBO3,1.24,0.27,-2.474,2.677,3.51,3.51,3.51,cubic
MoTbO3,0.65,0.92,-1.013,0.0,4.295,4.295,4.295,cubic
WPbO3,0.66,0.78,0.343,0.0,4.216,4.216,4.216,cubic
CrThO3,0.8,0.94,-2.332,0.0,4.509,4.509,4.509,cubic
LuCeO3,1.03,1.01,-2.148,0.0,4.526,4.526,4.526,cubic
BaInO3,1.61,0.8,-1.998,0.0,4.24,4.24,4.24,cubic
TmCaO3,1.05,1.0,-2.066,0.0,4.111,4.111,4.111,cubic
ScTbO3,0.87,0.84,-2.266,0.463,4.279,4.279,4.279,cubic
NiSbO3,0.69,0.6,-0.607,0.0,3.935,3.935,3.935,cubic
HoTcO3,1.12,0.6,-2.057,0.0,3.927,3.927,3.927,cubic
TiNbO3,0.86,0.68,-2.023,0.0,3.985,3.985,3.985,cubic
CeBiO3,1.34,1.03,-1.797,0.0,4.408,4.408,4.408,cubic
PdTlO3,0.76,0.89,0.374,0.0,4.188,4.188,4.188,cubic
NpPuO3,0.98,0.83,-2.801,0.0,4.531,4.531,4.531,cubic
PuCeO3,0.96,0.94,-2.388,0.0,4.636,4.636,4.636,cubic
ScSiO3,0.87,0.4,-2.601,0.0,3.547,3.547,3.547,cubic
BeLiO3,0.45,0.76,-0.004,0.0,3.439,3.439,3.439,cubic
TiReO3,0.86,0.63,-1.272,0.0,3.885,3.885,3.885,cubic
ScThO3,0.87,0.94,-2.609,0.0,4.54,4.54,4.54,cubic
TaYO3,0.74,0.9,-1.271,0.0,4.236,4.236,4.236,cubic
RbThO3,1.72,0.94,-2.831,0.0,4.564,4.564,4.564,cubic
IrInO3,0.68,0.8,0.209,0.0,4.1,4.1,4.1,cubic
UBeO3,1.17,0.45,-2.89,0.0,3.58,3.58,3.58,cubic
CdPmO3,1.31,0.97,-1.549,0.0,4.414,4.414,4.414,cubic
MoZrO3,0.69,0.72,-1.702,0.0,4.119,4.119,4.119,cubic
DyBO3,1.08,0.27,-2.526,3.002,3.454,3.454,3.454,cubic
IrPmO3,0.63,0.97,-0.423,0.0,4.401,4.401,4.401,cubic
HfHoO3,0.83,0.9,-2.021,0.0,4.21,4.21,4.21,cubic
ErMoO3,1.06,0.69,-2.225,0.0,3.946,3.946,3.946,cubic
CsSnO3,1.88,0.69,-1.378,0.0,4.232,4.232,4.232,cubic
MnHoO3,0.96,0.9,-1.883,0.0,4.238,4.238,4.238,cubic
ErCeO3,1.06,1.01,-2.242,0.0,4.529,4.529,4.529,cubic
FeErO3,0.78,0.89,-1.331,0.0,4.12,4.12,4.12,cubic
DyWO3,1.19,0.66,-2.199,0.0,3.958,3.958,3.958,cubic
SmReO3,1.32,0.63,-2.001,0.0,3.961,3.961,3.961,cubic
Pt2O3,0.67,0.67,0.43,0.0,3.958,3.958,3.958,cubic
InCaO3,0.92,1.0,-0.941,0.0,4.251,4.251,4.251,cubic
UEuO3,1.03,0.95,-2.066,0.0,4.276,4.276,4.276,cubic
BCsO3,0.27,1.67,1.394,0.0,4.336,4.336,4.336,cubic
AcPaO3,1.12,0.91,-2.693,0.0,4.524,4.524,4.524,cubic
LuPaO3,1.03,0.91,-2.289,0.0,4.459,4.459,4.459,cubic
GeHoO3,0.63,0.9,-1.636,0.0,4.255,4.255,4.255,cubic
TaGeO3,0.74,0.53,-0.758,0.0,3.798,3.798,3.798,cubic
DyTlO3,1.08,1.2,-1.444,0.0,4.232,4.232,4.232,cubic
YSbO3,1.08,0.76,-1.756,0.0,4.204,4.204,4.204,cubic
YErO3,1.08,0.89,-3.01,1.895,4.219,4.219,4.219,cubic
PaCoO3,0.95,0.63,-1.799,0.0,3.77,3.77,3.77,cubic
TmHoO3,1.05,0.9,-2.863,1.154,4.224,4.224,4.224,cubic
PmBO3,1.14,0.27,-2.462,2.59,3.524,3.524,3.524,cubic
TiPaO3,0.74,0.91,-1.958,0.0,4.368,4.368,4.368,cubic
KTbO3,1.64,0.84,-1.983,0.0,4.434,4.434,4.434,cubic
WCuO3,0.66,0.54,-0.03,0.0,3.686,3.686,3.686,cubic
OsMnO3,0.57,0.62,-0.214,0.0,3.797,3.797,3.797,cubic
UAuO3,1.17,0.93,-1.376,0.0,4.136,4.136,4.136,cubic
OsMoO3,0.57,0.62,-0.36,0.0,3.922,3.922,3.922,cubic
NiSiO3,0.69,0.4,-1.453,0.0,3.495,3.495,3.495,cubic
CrRuO3,0.8,0.62,-1.033,0.0,3.856,3.856,3.856,cubic
SnBeO3,0.81,0.45,-1.421,0.0,3.51,3.51,3.51,cubic
UGeO3,1.03,0.63,-2.099,0.0,3.926,3.926,3.926,cubic
BeAsO3,0.45,0.52,-0.63,0.0,3.711,3.711,3.711,cubic
BLaO3,0.27,1.03,-0.399,0.0,4.352,4.352,4.352,cubic
PdLiO3,0.75,0.76,0.081,0.0,3.547,3.547,3.547,cubic
TcSnO3,0.6,0.69,-0.756,0.571,4.033,4.033,4.033,cubic
EuPrO3,1.48,0.85,-2.616,0.0,4.451,4.451,4.451,cubic
LaSrO3,1.36,1.18,-2.083,0.0,4.406,4.406,4.406,cubic
PuHoO3,0.96,0.9,-2.967,0.0,4.267,4.267,4.267,cubic
NbYO3,0.72,0.9,-1.512,0.0,4.249,4.249,4.249,cubic
CsMgO3,1.88,0.72,-1.026,0.0,4.142,4.142,4.142,cubic
VReO3,0.79,0.63,-1.253,0.0,3.891,3.891,3.891,cubic
NaNdO3,1.39,0.98,-1.853,0.0,4.524,4.524,4.524,cubic
YZrO3,1.08,0.72,-2.982,0.0,4.126,4.126,4.126,cubic
HfVO3,0.83,0.79,-2.057,0.0,3.804,3.804,3.804,cubic
ZrSbO3,0.89,0.6,-1.109,0.0,4.144,4.144,4.144,cubic
PaPdO3,0.95,0.75,-1.166,0.0,4.007,4.007,4.007,cubic
TiPdO3,0.86,0.62,-0.68,0.0,3.897,3.897,3.897,cubic
MgPtO3,0.89,0.67,-0.805,0.0,3.933,3.933,3.933,cubic
BeMoO3,0.45,0.65,-1.171,0.0,3.873,3.873,3.873,cubic
ZnNpO3,0.9,0.86,-1.999,0.0,4.274,4.274,4.274,cubic
BTiO3,0.27,0.61,-0.984,0.0,3.844,3.844,3.844,cubic
TbHgO3,0.88,1.02,-1.075,0.0,4.186,4.186,4.186,cubic
TlLiO3,1.7,0.76,-0.34,0.0,3.712,3.712,3.712,cubic
BPmO3,0.27,0.97,-0.334,0.0,4.424,4.424,4.424,cubic
ZnRuO3,0.9,0.62,-0.768,0.0,3.853,3.853,3.853,cubic
NiTiO3,0.69,0.61,-1.545,0.0,3.855,3.855,3.855,cubic
TcSiO3,0.6,0.4,-1.367,0.0,3.619,3.619,3.619,cubic
VHfO3,0.79,0.71,-2.528,0.0,4.046,4.046,4.046,cubic
