compound,ra,rb,fe,bg,a,b,c,shape
TeInO3,0.77,0.8,-0.653,0.0,4.146,4.146,4.146,cubic
AuThO3,0.93,0.94,-1.779,0.0,4.485,4.485,4.485,cubic
AsCdO3,0.52,0.95,0.082,0.0,4.081,4.081,4.081,cubic
PmCdO3,1.14,0.95,-1.735,0.0,4.112,4.112,4.112,cubic
ReIrO3,0.57,0.63,0.441,0.0,3.934,3.934,3.934,cubic
TePrO3,0.97,0.85,-1.165,0.0,4.527,4.527,4.527,cubic
ScPmO3,0.87,0.97,-2.139,0.0,4.4,4.4,4.4,cubic
FeTiO3,0.92,0.61,-2.033,0.0,3.824,3.824,3.824,cubic
ThRuO3,1.21,0.68,-2.076,0.0,3.966,3.966,3.966,cubic
GaAuO3,0.62,0.93,-0.05,0.0,4.033,4.033,4.033,cubic
InPbO3,0.92,0.99,-0.763,0.0,4.23,4.23,4.23,cubic
TmWO3,1.09,0.66,-2.119,0.0,3.953,3.953,3.953,cubic
HoYbO3,1.12,0.95,-2.358,0.0,4.091,4.091,4.091,cubic
BaScO3,1.61,0.75,-3.043,0.0,4.179,4.179,4.179,cubic
HgYO3,1.14,0.9,-1.43,0.0,4.357,4.357,4.357,cubic
UZnO3,1.17,0.74,-2.187,0.0,3.864,3.864,3.864,cubic
LaReO3,1.36,0.63,-2.206,0.0,3.992,3.992,3.992,cubic
TcThO3,0.6,0.94,-1.642,0.0,4.542,4.542,4.542,cubic
PaErO3,0.95,0.89,-2.475,0.0,4.24,4.24,4.24,cubic
PaSnO3,0.95,0.69,-1.34,0.0,4.103,4.103,4.103,cubic
AgBO3,0.75,0.27,-0.35,0.0,3.439,3.439,3.439,cubic
HgZnO3,1.14,0.74,-0.279,0.0,3.881,3.881,3.881,cubic
NbAlO3,0.72,0.54,-2.135,0.0,3.642,3.642,3.642,cubic
PmYbO3,1.14,0.95,-2.522,0.0,4.123,4.123,4.123,cubic
GaScO3,0.62,0.75,-1.744,0.0,4.022,4.022,4.022,cubic
RhTiO3,0.67,0.67,-1.562,0.0,3.846,3.846,3.846,cubic
GeTmO3,0.63,0.96,-1.707,0.0,4.225,4.225,4.225,cubic
ReNpO3,0.57,0.86,-0.901,0.0,4.361,4.361,4.361,cubic
CuGaO3,0.68,0.62,-0.625,0.0,3.797,3.797,3.797,cubic
YbGdO3,1.04,0.94,-2.686,0.0,4.302,4.302,4.302,cubic
Lu2O3,1.03,0.86,-3.004,0.853,4.134,4.134,4.134,cubic
PmAuO3,1.14,0.93,-1.432,0.0,4.113,4.113,4.113,cubic
ScCoO3,0.87,0.61,-1.94,0.849,3.627,3.627,3.627,cubic
SnTbO3,0.81,0.76,-1.8,0.0,4.337,4.337,4.337,cubic
Th2O3,1.21,0.94,-2.678,0.0,4.572,4.572,4.572,cubic
GeLaO3,0.63,1.03,-1.43,0.0,4.461,4.461,4.461,cubic
PrReO3,1.18,0.63,-2.061,0.0,3.983,3.983,3.983,cubic
Hg2O3,1.14,1.11,0.247,0.0,4.157,4.157,4.157,cubic
CoZnO3,0.9,0.74,-0.332,0.0,3.778,3.778,3.778,cubic
MgCrO3,0.89,0.55,-1.937,0.0,3.731,3.731,3.731,cubic
PmPaO3,1.14,0.91,-2.504,0.0,4.468,4.468,4.468,cubic
DyTbO3,1.19,0.76,-2.717,1.366,4.285,4.285,4.285,cubic
RbBiO3,1.72,0.76,-1.302,0.0,4.277,4.277,4.277,cubic
NpOsO3,0.98,0.57,-1.846,0.0,3.98,3.98,3.98,cubic
NdCaO3,1.27,1.0,-2.323,0.0,4.144,4.144,4.144,cubic
ErScO3,1.06,0.75,-3.269,2.751,3.976,3.976,3.976,cubic
MoVO3,0.69,0.64,-1.249,0.0,3.8,3.8,3.8,cubic
SbCaO3,0.68,1.0,-0.947,0.0,4.145,4.145,4.145,cubic
PdZnO3,0.75,0.74,-0.012,0.0,3.805,3.805,3.805,cubic
BeOsO3,0.45,0.57,-0.453,0.0,3.84,3.84,3.84,cubic
CrOsO3,0.57,0.57,-1.061,0.0,3.87,3.87,3.87,cubic
NpPaO3,0.98,0.91,-2.557,0.0,4.488,4.488,4.488,cubic
AuYO3,0.93,0.9,-1.123,0.0,4.373,4.373,4.373,cubic
BeTbO3,0.45,0.76,-0.928,0.0,4.269,4.269,4.269,cubic
PuAuO3,0.96,0.93,-1.293,0.0,4.118,4.118,4.118,cubic
UPdO3,1.17,0.86,-1.758,0.0,4.005,4.005,4.005,cubic
ReLaO3,0.57,1.03,-0.425,0.0,4.455,4.455,4.455,cubic
Sc2O3,0.87,0.75,-2.87,1.319,3.954,3.954,3.954,cubic
TcTeO3,0.6,0.77,-0.242,0.0,4.165,4.165,4.165,cubic
AlMgO3,0.54,0.72,-1.168,0.0,3.732,3.732,3.732,cubic
TePdO3,0.97,0.62,-0.217,0.0,3.994,3.994,3.994,cubic
TeRhO3,0.97,0.6,-0.408,0.0,3.953,3.953,3.953,cubic
CoAgO3,0.61,0.75,0.365,0.0,3.973,3.973,3.973,cubic
FeSiO3,0.92,0.4,-1.908,0.0,3.512,3.512,3.512,cubic
CsYbO3,1.88,0.95,-1.296,0.0,4.458,4.458,4.458,cubic
GeDyO3,0.63,0.99,-1.624,0.0,4.278,4.278,4.278,cubic
PaFeO3,0.95,0.67,-1.804,0.0,3.888,3.888,3.888,cubic
CuZrO3,0.68,0.72,-1.845,0.0,4.127,4.127,4.127,cubic
TeTaO3,0.97,0.64,-1.705,0.0,4.057,4.057,4.057,cubic
ErRuO3,1.06,0.68,-1.86,0.0,3.904,3.904,3.904,cubic
NdTbO3,1.35,0.76,-2.905,1.693,4.309,4.309,4.309,cubic
SnPdO3,0.81,0.62,-0.658,0.0,3.983,3.983,3.983,cubic
AsGeO3,0.58,0.53,-0.909,0.0,3.757,3.757,3.757,cubic
PmLuO3,1.14,0.86,-3.286,2.163,4.169,4.169,4.169,cubic
RuReO3,0.68,0.63,-0.559,0.0,3.889,3.889,3.889,cubic
KBaO3,1.64,1.35,-1.017,0.0,4.62,4.62,4.62,cubic
MnUO3,0.96,0.89,-2.377,0.0,4.327,4.327,4.327,cubic
HgCsO3,1.14,1.67,0.504,0.0,4.437,4.437,4.437,cubic
KZnO3,1.64,0.74,-0.701,0.0,3.942,3.942,3.942,cubic
KOsO3,1.64,0.57,-1.467,0.0,3.903,3.903,3.903,cubic
ReTiO3,0.57,0.71,-1.162,0.0,3.88,3.88,3.88,cubic
ThNaO3,1.21,1.02,-2.092,0.0,3.931,3.931,3.931,cubic
PaWO3,0.95,0.63,-1.574,0.0,4.022,4.022,4.022,cubic
CsHgO3,1.88,1.11,-0.227,0.0,4.355,4.355,4.355,cubic
CsVO3,1.88,0.64,-1.781,0.0,3.986,3.986,3.986,cubic
HfAsO3,0.83,0.58,-1.005,0.0,3.941,3.941,3.941,cubic
BePuO3,0.45,0.83,-1.444,0.0,4.279,4.279,4.279,cubic
NdEuO3,1.27,0.95,-2.325,0.0,4.279,4.279,4.279,cubic
TeSnO3,0.97,0.69,-0.903,0.0,4.093,4.093,4.093,cubic
